,Res,ksStat,pValue
0,SMOTER_bin,0.08841463414634146,0.8944473121383694
1,SMOTER_bin_t,0.09364111498257839,0.852408379469563
2,SMOTER_bin_r,0.11210801393728223,0.6701049632746452
3,SMOTER_bin_tr,0.12534843205574914,0.5319148740126861
4,GAN_CNN_e50,0.9721254355400697,5.298715751534696e-56
5,GAN_CNN_e60,0.9505226480836237,1.2521765702617211e-48
6,GAN_FNN_e100,0.19166666666666668,0.26454601556321844
7,GAN_FNN_e110,0.1629032258064516,0.47655689482152624
8,SMOTER_regular,0.06707232267037552,0.98970273351736
